docId,competitionId,date,lockAt,meeting,placesPaid,eachWayFraction,offTime,order,raceId,runners,updatedAt
2026-03-13_chelt_13:20,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,4,0.2,2026-03-13T13:20:00Z,1,2026-03-13_chelt_13:20,"[""apolon_de_charnie"",""berto_ramirez"",""fantasy_world"",""forty_fifty"",""highland_crystal"",""indian_river"",""kai_lung"",""lord_byron"",""macho_man"",""maestro_conti"",""minella_academy"",""minella_study"",""mon_creuset"",""noemie_de_la_vis"",""north_shore"",""one_horse_town"",""proactif"",""selma_de_vary"",""tenter_le_tout"",""wolf_rayet""]",2026-03-06T00:00:00Z
2026-03-13_chelt_14:00,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,6,0.2,2026-03-13T14:00:00Z,2,2026-03-13_chelt_14:00,"[""ndaawi"",""absurde"",""bowensonfire"",""karbau"",""hello_neighbour"",""wilful"",""pinot_gris"",""murcia"",""tripoli_flyer"",""helvic_dream"",""jubilee_alpha"",""sixandahalf"",""sticktotheplan"",""williethebuilder"",""cracking_rhapsody"",""joyeuse"",""balko_d'ange"",""bowmore"",""secret_squirrel"",""sinnatra"",""tellherthename"",""captain_ryan_matt"",""ooh_betty"",""wellington_arch""]",2026-03-06T00:00:00Z
2026-03-13_chelt_14:40,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,3,0.2,2026-03-13T14:40:00Z,3,2026-03-13_chelt_14:40,"[""spindleberry"",""dinoblue"",""july_flower"",""only_by_night"",""all_the_glory"",""diva_luna"",""panic_attack"",""piper_park"",""telepathique""]",2026-03-06T00:00:00Z
2026-03-13_chelt_15:20,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,5,0.2,2026-03-13T15:20:00Z,4,2026-03-13_chelt_15:20,"[""doctor_du_mesnil"",""doctor_steinberg"",""espresso_milan"",""fruit_de_mer"",""hipop_de_loire"",""jalon_d'oudairies"",""johnny's_jury"",""kazansky"",""kicour_la"",""king's_bucks"",""kripticjim"",""mondoui'boy"",""moneygarrow"",""road_exile"",""spinningayarn"",""swindon_village"",""tackletommywoowoo"",""the_passing_wife"",""the_price_of_peace"",""thedeviluno"",""ubatuba"",""park_princess""]",2026-03-06T00:00:00Z
2026-03-13_chelt_16:00,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,3,0.2,2026-03-13T16:00:00Z,5,2026-03-13_chelt_16:00,"[""envoi_allen"",""firefox"",""gaelic_warrior"",""gold_tweet"",""grey_dawning"",""haiti_couleurs"",""inothewayurthinkin"",""jango_baie"",""l'homme_presse"",""spillane's_tower"",""the_jukebox_man""]",2026-03-06T00:00:00Z
2026-03-13_chelt_16:40,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,4,0.2,2026-03-13T16:40:00Z,6,2026-03-13_chelt_16:40,"[""barton_snow"",""carnfunnock"",""chemical_energy"",""con's_roc"",""golden_son"",""gracchus_de_balme"",""its_on_the_line"",""king_alex"",""kings_jet"",""lift_me_up"",""linelee_king"",""music_drive"",""panda_boy"",""paul_marvel"",""pyleigh_court"",""shearer"",""solitary_man"",""stattler"",""take_all"",""what_a_glance"",""willewonga"",""willitgoahead"",""wonderwall"",""wrappedupinmay""]",2026-03-06T00:00:00Z
2026-03-13_chelt_17:20,cheltenham_2026,13/03/2026,2026-03-13T13:20:00Z,chelt,6,0.2,2026-03-13T17:20:00Z,7,2026-03-13_chelt_17:20,"[""its_bilbo"",""nurse_susan"",""air_of_entitlement"",""farfromnowhere"",""karl_des_tourelles"",""sa_fureur"",""zillow"",""da_capo_glory"",""east_india_express"",""fiercely_proud"",""kel_histoire"",""act_of_authority"",""intellotto"",""wendrock"",""andashan"",""jump_allen"",""open_secret"",""stede_bonnet"",""ballykinlar"",""saint_le_fort"",""roc_dino"",""charlus"",""hot_fuss"",""glynn_brae"",""he_can't_dance"",""sainte_lucie""]",2026-03-06T00:00:00Z
