docId,competitionId,date,lockAt,meeting,placesPaid,eachWayFraction,offTime,order,raceId,runners,updatedAt
2026-03-12_chelt_13:20,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,4,0.2,2026-03-12T13:20:00Z,1,2026-03-12_chelt_13:20,"[""al_fonce"",""amen_kate"",""bambino_fever"",""blue_velvet"",""carrigmoornaspruce"",""chosen_comrade"",""diamond_du_berlais"",""echoing_silence"",""full_of_life"",""future_prospect"",""jackie_hobbs"",""kingston_queen"",""la_conquiere"",""louve_d'irlande"",""oldschool_outlaw"",""place_de_la_nation"",""scavengers_reign"",""st_irene"",""white_noise"",""charme_de_faust"",""manganese"",""mille_et_une_vies""]",2026-03-06T00:00:00Z
2026-03-12_chelt_14:00,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,6,0.2,2026-03-12T14:00:00Z,2,2026-03-12_chelt_14:00,"[""gold_dancer"",""sixmilebridge"",""slade_steel"",""ol_man_dingle"",""regent's_stroll"",""king_alexander"",""wingmen"",""kiss_will"",""jordans_cross"",""moon_rocket"",""meetmebythesea"",""intense_approach"",""stencil"",""western_knight"",""old_cowboy"",""the_bluesman"",""where's_my_jet"",""kdeux_saint_fray"",""dr_eggman"",""ben_solo""]",2026-03-06T00:00:00Z
2026-03-12_chelt_14:40,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,2,0.25,2026-03-12T14:40:00Z,3,2026-03-12_chelt_14:40,"[""dream_on_baby"",""feet_of_a_dancer"",""jade_de_grugy"",""jetara"",""sunset_marquesa"",""take_no_chances"",""wodhooh""]",2026-03-06T00:00:00Z
2026-03-12_chelt_15:20,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,4,0.2,2026-03-12T15:20:00Z,4,2026-03-12_chelt_15:20,"[""ballyburn"",""bob_olinger"",""doddiethegreat"",""gwennie_may_boy"",""hewick"",""home_by_the_lee"",""honesty_policy"",""impose_toi"",""kabral_du_mathan"",""ma_shantou"",""teahupoo""]",2026-03-06T00:00:00Z
2026-03-12_chelt_16:00,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,3,0.2,2026-03-12T16:00:00Z,5,2026-03-12_chelt_16:00,"[""banbridge"",""croke_park"",""fact_to_file"",""heart_wood"",""impaire_et_passe"",""jonbon"",""jpr_one"",""master_chewy"",""matata""]",2026-03-06T00:00:00Z
2026-03-12_chelt_16:40,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,7,0.2,2026-03-12T16:40:00Z,6,2026-03-12_chelt_16:40,"[""staffordshire_knot"",""gowel_road"",""ace_of_spades"",""electric_mason"",""minella_sixo"",""absolutely_doyen"",""kikijo"",""supremely_west"",""classic_king"",""red_dirt_road"",""duke_silver"",""ikarak"",""lavida_adiva"",""yeah_man"",""idy_wood"",""letos"",""melbourne_shamrock"",""c'est_different"",""champagne_chic"",""bold_endeavour"",""minella_emperor"",""onewaywest"",""idem"",""ike_sport""]",2026-03-06T00:00:00Z
2026-03-12_chelt_17:20,cheltenham_2026,12/03/2026,2026-03-12T13:20:00Z,chelt,6,0.2,2026-03-12T17:20:00Z,7,2026-03-12_chelt_17:20,"[""jeriko_du_reponet"",""monbeg_genius"",""the_enabler"",""il_ridoto"",""insurrection"",""sandor_clegane"",""herakles_westwood"",""king's_threshold"",""prends_garde_a_toi"",""uncle_bert"",""waterford_whispers"",""weveallbeencaught"",""daily_present"",""olympic_man"",""excello"",""cave_court"",""glengouly"",""kim_roque"",""road_to_home"",""gericault_roque"",""no_time_to_wait"",""ask_brewster"",""hung_jury"",""lord_accord""]",2026-03-06T00:00:00Z
